Product Name,Qty Type,"Price
After","Qty
After"
Bananas (Green),Box (13kg),30.00,18.0
Mushroom - Premium Cups,Box (4kg),30.00,6.0
Snowpeas,Box,65.00,1.0
Spring Onions,Bunch,2.00,60.0
Tomatoes - Gourmet,Box,46.00,9.0
Tomatoes - Roma,Box (10kg),48.00,1.0
Tomatoes - Truss,Tray (5kg),30.00,3.0
Wombok,Box (8),20.00,2.0
Avocados - Hass (Green),Tray,55.00,9.0
Strawberries,Tray (15),45.00,12.0
Basil,Bunch,3.20,6.0
Beans - Green (Hand Picked),Box (10kg),60.00,3.0
Blueberries,Tray,40.00,5.0
Brussel Sprouts - Green,Box (5kg),20.00,2.0
Cabbage - Green,Each,4.00,20.0
Carrots (Grated),Bag (1kg),2.50,1.0
Carrots (Pre-Pack),Box (20kg),16.00,8.0
Celeriac,Bunch,15.00,1.0
Coriander,Bunch,1.30,20.0
Corn (Pre-Pack),Box (12),50.00,3.0
Cucumber - Qukes,Tray,40.00,1.0
Juice - Organic Orange,Btle (2L),4.50,30.0
Lettuce - Cos Midi,Box (15),20.00,4.0
Lettuce - Iceberg,Box (12),40.00,2.0
Mushrooms - BBQ (Prepack),Pn,4.50,12.0
Mushrooms - Swiss Brown,Pn,3.00,12.0
Parsley - Continental,Bunch,1.20,10.0
Pineapples Sugar / Topless,Box,32.00,3.0
Potatoes - Desiree,Box,25.00,4.0
Potatoes - Washed,Bag (5kg),3.00,10.0
Pumpkin - Jap / Kent,Kg,0.80,300.0
Salad Mix - Premium,Box (1.5kg),10.00,4.0
Spinach - Baby,Box (1.5kg),8.00,9.0
Swedes,Bag (10kg),25.00,1.0
Sweet Potatoes (Medium),Box (15kg),40.00,4.0
